ID_alt	themeLabel_alt	themeLabel_neu	ID_neu
http://zora.uni-trier.de:11000/entity/Q2794	catholicisme	catholicisme	http://data.mimotext.uni-trier.de/entity/Q2813
http://zora.uni-trier.de:11000/entity/Q2795	censure	censure	http://data.mimotext.uni-trier.de/entity/Q2814
http://zora.uni-trier.de:11000/entity/Q2796	chaleur	chaleur	http://data.mimotext.uni-trier.de/entity/Q2815
http://zora.uni-trier.de:11000/entity/Q2797	chanson	chanson	http://data.mimotext.uni-trier.de/entity/Q2816
http://zora.uni-trier.de:11000/entity/Q2798	chevalerie	chevalerie	http://data.mimotext.uni-trier.de/entity/Q2817
http://zora.uni-trier.de:11000/entity/Q2799	chimie	chimie	http://data.mimotext.uni-trier.de/entity/Q2818
http://zora.uni-trier.de:11000/entity/Q2800	chirurgie	chirurgie	http://data.mimotext.uni-trier.de/entity/Q2819
http://zora.uni-trier.de:11000/entity/Q2801	christianisme	christianisme	http://data.mimotext.uni-trier.de/entity/Q2820
http://zora.uni-trier.de:11000/entity/Q2802	citoyenneté	citoyenneté	http://data.mimotext.uni-trier.de/entity/Q2821
http://zora.uni-trier.de:11000/entity/Q2803	civilisation	civilisation	http://data.mimotext.uni-trier.de/entity/Q2822
http://zora.uni-trier.de:11000/entity/Q2804	classe sociale	classe sociale	http://data.mimotext.uni-trier.de/entity/Q2823
http://zora.uni-trier.de:11000/entity/Q2805	classicisme	classicisme	http://data.mimotext.uni-trier.de/entity/Q2824
http://zora.uni-trier.de:11000/entity/Q2806	classification	classification	http://data.mimotext.uni-trier.de/entity/Q2825
http://zora.uni-trier.de:11000/entity/Q2807	clergé	clergé	http://data.mimotext.uni-trier.de/entity/Q2826
http://zora.uni-trier.de:11000/entity/Q2808	collectivisme	collectivisme	http://data.mimotext.uni-trier.de/entity/Q2827
http://zora.uni-trier.de:11000/entity/Q2809	colonialisme	colonialisme	http://data.mimotext.uni-trier.de/entity/Q2828
http://zora.uni-trier.de:11000/entity/Q2810	colportage	colportage	http://data.mimotext.uni-trier.de/entity/Q2829
http://zora.uni-trier.de:11000/entity/Q2811	comédie	comédie	http://data.mimotext.uni-trier.de/entity/Q2830
http://zora.uni-trier.de:11000/entity/Q2812	Commedia dell'arte	Commedia dell'arte	http://data.mimotext.uni-trier.de/entity/Q2831
http://zora.uni-trier.de:11000/entity/Q2813	commerce	commerce	http://data.mimotext.uni-trier.de/entity/Q2832
http://zora.uni-trier.de:11000/entity/Q2814	communauté	communauté	http://data.mimotext.uni-trier.de/entity/Q2833
http://zora.uni-trier.de:11000/entity/Q2815	confrérie	confrérie	http://data.mimotext.uni-trier.de/entity/Q2834
http://zora.uni-trier.de:11000/entity/Q2816	conte	conte	http://data.mimotext.uni-trier.de/entity/Q2835
http://zora.uni-trier.de:11000/entity/Q2817	conte merveilleux/de fées	conte merveilleux/de fées	http://data.mimotext.uni-trier.de/entity/Q2836
http://zora.uni-trier.de:11000/entity/Q2818	contingence	contingence	http://data.mimotext.uni-trier.de/entity/Q2837
http://zora.uni-trier.de:11000/entity/Q2819	Contrat social	Contrat social	http://data.mimotext.uni-trier.de/entity/Q2838
http://zora.uni-trier.de:11000/entity/Q2820	contre-révolution	contre-révolution	http://data.mimotext.uni-trier.de/entity/Q2839
http://zora.uni-trier.de:11000/entity/Q2821	conversation	conversation	http://data.mimotext.uni-trier.de/entity/Q2840
http://zora.uni-trier.de:11000/entity/Q2822	conversion religieuse	conversion religieuse	http://data.mimotext.uni-trier.de/entity/Q2841
http://zora.uni-trier.de:11000/entity/Q2823	corporation	corporation	http://data.mimotext.uni-trier.de/entity/Q2842
http://zora.uni-trier.de:11000/entity/Q2824	corps	corps	http://data.mimotext.uni-trier.de/entity/Q2843
http://zora.uni-trier.de:11000/entity/Q2825	correspondance	correspondance	http://data.mimotext.uni-trier.de/entity/Q2844
http://zora.uni-trier.de:11000/entity/Q2826	correspondance littéraire	correspondance littéraire	http://data.mimotext.uni-trier.de/entity/Q2845
http://zora.uni-trier.de:11000/entity/Q2827	cosmopolitisme	cosmopolitisme	http://data.mimotext.uni-trier.de/entity/Q2846
http://zora.uni-trier.de:11000/entity/Q2828	couleur	couleur	http://data.mimotext.uni-trier.de/entity/Q2847
http://zora.uni-trier.de:11000/entity/Q2829	crime	crime	http://data.mimotext.uni-trier.de/entity/Q2848
